Transaction ID,Nuts,Shellfish,Canned Fruit,Spices,Pasta,Yogurt,Coffee,Deli Meats,Ice Cream,TV Dinner,Cheese,Chips,Sour Cream,Cottage Cheese,Deli Salads,Dried Meat,Paper Wipes,Soda,Deodorizers,Cleaners,Shower Soap,Fresh Fish,Bagels,Muffins,Sliced Bread,Pancake Mix,Pancakes,Juice,Jelly,Jam,Preserves,Waffles,Cereal,Chocolate Candy,Gum,Hard Candy,Personal Hygiene,Pots and Pans,Tools,Sponges,Beer,Wine,Cookies,Pretzels,Candles,Sauces,Cooking Oil,Sugar,Chocolate,Flavored Drinks,Peanut Butter,Popcorn,Paper Dishes,Plastic Utensils,Rice,Soup,Dehydrated Soup,Frozen Vegetables,Fresh Vegetables,Canned Vegetables,French Fries,Pizza,Hamburger,Eggs,Tofu,Dish Soap,Dishwasher Soap,Aspirin,Ibuprofen,Acetominifen,Nasal Sprays,Mouthwash,Cold Remedies,Milk,Fresh Chicken,Conditioner,Shampoo,Lightbulbs,Hot Dogs,Crackers,Dips,Donuts,Toilet Brushes,Pot Scrubbers,Pot Cleaners,Toothbrushes,Sunglasses,Bologna,Non-Alcoholic Wine,Tuna,Shrimp,Anchovies,Clams,Oysters,Sardines,Fresh Fruit,Frozen Chicken,Batteries,Maps,Screwdrivers,Sports Magazines,Home Magazines,Fashion Magazines,Computer Magazines,Auto Magazines,Dried Fruit,Popsicles
1,0,1,0,2,1,0,1,0,2,1,0,1,0,0,1,0,1,0,1,1,1,0,3,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,2,0,0,3,0,1,1,1,0,1,1,1,0,0,1,0,0,2,0,0,2,0,1,0,1
2,0,2,0,0,0,1,0,1,1,1,0,1,1,2,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,3,2,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,2,1,1,0
3,1,0,0,1,0,0,1,0,0,0,1,0,0,2,1,2,1,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,0,0,0,0,1,1,0
4,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,2,2,0,1,1,0,1,0,2,1
5,0,1,0,0,0,0,3,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,1,2,0,1,0,1,1,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,1,2,1,3,0,0,1,0,0,0,1,2,0,1
6,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,0,1,1,1,1,0,1,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0
7,0,0,1,0,0,1,2,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,1,1,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,1,0,2,0,0,1,0,0,1,2,1,1,0,0,0,0
8,0,2,1,2,0,0,1,0,0,1,1,0,2,0,0,0,2,1,3,3,1,3,0,1,3,1,0,0,0,0,0,1,2,0,0,1,1,0,1,1,2,1,1,2,0,0,0,0,1,1,1,0,0,1,0,3,0,2,0,1,0,0,1,1,0,1,2,0,1,1,0,0,2,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2
9,1,2,0,2,1,0,1,1,0,0,2,1,0,2,2,0,0,1,1,1,0,0,1,1,1,1,0,2,2,0,3,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0,1,0,0,0,1
10,1,1,0,0,0,2,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,3,0,0,0,0,1,0,1,0,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,2,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,0,2,0,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,2,1,1,0,0,1
11,0,1,3,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,2,2,0,0,0,1,0,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,3,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3
12,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,2,1,1,1,1,2,0,2,0,0,1,1,1,0,2,0,1,1,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
13,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,2,1,1,0,1,1,1,1,0,0,2,2,0,0,0,1,0,1,0,1,3,1,0,0,1,0,1,0,0,0,2,0,0,1,0,3,0,1,2,0,0,1,0,0,1,1,0,0,1,0,2,2,0,1,0,1
14,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,2,0,1,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,1,2,1,1,0,1,0,1,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,0,1,1,1,0,0,2,1,1,0,0,1,0,0,0
15,1,2,1,2,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,1
16,0,1,1,0,2,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,0,0,1,3,0
17,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,3,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2,0,1,0,1,0,1,1,1,0,1,1,0,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,1
18,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,2,1,0,0,0,2,1,0,1,0,0,1,0,0,1,1,2,0,2,2,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
