Product,Count
Nuts,90
Shellfish,52
Canned Fruit,12
Spices,23
Pasta,26
Yogurt,19
Coffee,11
Deli Meats,73
Ice Cream,37
TV Dinner,98
Cheese,64
Chips,77
Sour Cream,44
Cottage Cheese,33
Deli Salads,25
Dried Meat,85
Paper Wipes,71
Soda,86
Deodorizers,17
Cleaners,69
Shower Soap,25
Fresh Fish,28
Bagels,87
Muffins,9
Sliced Bread,3
Pancake Mix,100
Pancakes,91
Juice,30
Jelly,46
Jam,27
Preserves,57
Waffles,14
Cereal,100
Chocolate Candy,100
Gum,85
Hard Candy,87
Personal Hygiene,81
Pots and Pans,77
Tools,17
Sponges,4
Beer,3
Wine,79
Cookies,32
Pretzels,75
Candles,19
Sauces,79
Cooking Oil,62
Sugar,24
Chocolate,9
Flavored Drinks,51
Peanut Butter,83
Popcorn,74
Paper Dishes,62
Plastic Utensils,7
Rice,66
Soup,22
Dehydrated Soup,59
Frozen Vegetables,2
Fresh Vegetables,97
Canned Vegetables,62
French Fries,60
Pizza,64
Hamburger,9
Eggs,69
Tofu,50
Dish Soap,34
Dishwasher Soap,2
Aspirin,36
Ibuprofen,63
Acetominifen,29
Nasal Sprays,20
Mouthwash,98
Cold Remedies,27
Milk,69
Fresh Chicken,57
Conditioner,97
Shampoo,6
Lightbulbs,37
Hot Dogs,81
Crackers,82
Dips,20
Donuts,30
Toilet Brushes,16
Pot Scrubbers,91
Pot Cleaners,99
Toothbrushes,39
Sunglasses,9
Bologna,50
Non-Alcoholic Wine,37
Tuna,13
Shrimp,18
Anchovies,90
Clams,50
Oysters,17
Sardines,65
Fresh Fruit,34
Frozen Chicken,91
Batteries,61
Maps,82
Screwdrivers,33
Sports Magazines,99
Home Magazines,56
Fashion Magazines,72
Computer Magazines,75
Auto Magazines,47
Dried Fruit,90
Popsicles,36
