Product,Count
Nuts,55
Shellfish,3
Canned Fruit,60
Spices,52
Pasta,50
Yogurt,0
Coffee,42
Deli Meats,100
Ice Cream,83
TV Dinner,79
Cheese,75
Chips,8
Sour Cream,53
Cottage Cheese,21
Deli Salads,32
Dried Meat,4
Paper Wipes,89
Soda,10
Deodorizers,36
Cleaners,28
Shower Soap,35
Fresh Fish,76
Bagels,94
Muffins,54
Sliced Bread,23
Pancake Mix,66
Pancakes,65
Juice,15
Jelly,1
Jam,90
Preserves,71
Waffles,99
Cereal,96
Chocolate Candy,10
Gum,71
Hard Candy,6
Personal Hygiene,78
Pots and Pans,74
Tools,1
Sponges,95
Beer,26
Wine,42
Cookies,31
Pretzels,30
Candles,51
Sauces,100
Cooking Oil,88
Sugar,33
Chocolate,40
Flavored Drinks,67
Peanut Butter,60
Popcorn,47
Paper Dishes,35
Plastic Utensils,9
Rice,34
Soup,31
Dehydrated Soup,0
Frozen Vegetables,28
Fresh Vegetables,20
Canned Vegetables,41
French Fries,66
Pizza,43
Hamburger,77
Eggs,39
Tofu,76
Dish Soap,56
Dishwasher Soap,100
Aspirin,24
Ibuprofen,37
Acetominifen,24
Nasal Sprays,91
Mouthwash,89
Cold Remedies,46
Milk,19
Fresh Chicken,97
Conditioner,19
Shampoo,32
Lightbulbs,38
Hot Dogs,26
Crackers,2
Dips,79
Donuts,84
Toilet Brushes,79
Pot Scrubbers,56
Pot Cleaners,60
Toothbrushes,43
Sunglasses,57
Bologna,90
Non-Alcoholic Wine,61
Tuna,1
Shrimp,73
Anchovies,6
Clams,77
Oysters,23
Sardines,90
Fresh Fruit,81
Frozen Chicken,53
Batteries,67
Maps,65
Screwdrivers,82
Sports Magazines,86
Home Magazines,92
Fashion Magazines,47
Computer Magazines,89
Auto Magazines,93
Dried Fruit,70
Popsicles,8
